Week,Day,OT 1,OT 2,Gospels/Acts/Proverbs,Letters,Psalms
,Sat,2 Kings 15,Ezekiel 33,Proverbs 2,,Psalm 137
48,Sun,,,,,
,Mon,2 Kings 16-17,Ezekiel 34-35,Proverbs 3,Revelation 10,
,Tue,2 Kings 18,Ezekiel 36,Proverbs 4,,Psalm 138
,Wed,2 Kings 19,Ezekiel 37,Proverbs 5,Revelation 11,
,Thu,2 Kings 20,Ezekiel 38,Proverbs 6,,Psalm 139
,Fri,2 Kings 21,Ezekiel 39,Proverbs 7,Revelation 12,
,Sat,2 Kings 22-23,Ezekiel 40,Proverbs 8,,Psalm 140
49,Sun,,,,,
,Mon,2 Kings 24,Ezekiel 41-42,Proverbs 9,Revelation 13,
,Tue,2 Kings 25,Ezekiel 43,Proverbs 10,,Psalm 141
,Wed,Ezra 1,Ezekiel 44,Proverbs 11,Revelation 14,
,Thu,Ezra 2,Ezekiel 45,Proverbs 12,,Psalm 142
,Fri,Ezra 3-4,Ezekiel 46,Proverbs 13,Revelation 15,
,Sat,Ezra 5-6,Ezekiel 47-48,Proverbs 14,,Psalm 143
50,Sun,,,,,
,Mon,Ezra 7,Haggai 1,Proverbs 15,Revelation 16,
,Tue,Ezra 8,Haggai 2,Proverbs 16,,Psalm 144
,Wed,Ezra 9,Zechariah 1,Proverbs 17,Revelation 17,
,Thu,Ezra 10,Zechariah 2,Proverbs 18,,Psalm 145
,Fri,Nehemiah 1-2,Zechariah 3,Proverbs 19,Revelation 18,
,Sat,Nehemiah 3-4,Zechariah 4,Proverbs 20,,Psalm 146
51,Sun,,,,,
,Mon,Nehemiah 5,Zechariah 5,Proverbs 21,Revelation 19,
,Tue,Nehemiah 6-7,Zechariah 6,Proverbs 22,,Psalm 147
,Wed,Nehemiah 8,Zechariah 7,Proverbs 23,Revelation 20,
,Thu,Nehemiah 9,Zechariah 8,Proverbs 24,,Psalm 148
,Fri,Nehemiah 10,Zechariah 9,Proverbs 25,Revelation 21,
,Sat,Nehemiah 11,Zechariah 10,Proverbs 26,,Psalm 149
52,Sun,,,,,
,Mon,Nehemiah 12,Zechariah 11,Proverbs 27,Revelation 22,
,Tue,Nehemiah 13,Zechariah 12,Proverbs 28,,Psalm 150
,Wed,Esther 1-2,Zechariah 13,Proverbs 29,,
,Thu,Esther 3-4,Zechariah 14,Proverbs 30,,
,Fri,Esther 5-7,Malachi 1-2,Proverbs 31,,
,Sat,Esther 8-10,Malachi 3-4,,,
,,,,,,
